zip_code,value,prediction
12513,111.734,0
13624,815.793,0
13322,-999.0,0
12819,-999.0,0
12819,-999.0,0
13042,74.822,0
13323,-999.0,0
14035,-999.0,0
14034,-999.0,0
14035,3.079,0
12927,33.148,0
13625,171.411,0
13687,56.788,0
12821,-999.0,0
12821,39.294,0
14435,73.044,0
13325,18.846,0
13045,22838.549,0
13045,6995.652,0
12823,-999.0,0
12521,-999.0,0
13327,149.602,0
13327,170.201,0
12052,-999.0,0
14727,1040.621,0
14040,140.56,0
13052,152.387,0
14173,-999.0,0
14042,282.25,0
14173,-999.0,0
14042,268.833,0
13753,0.0,0
14043,-999.0,0
14112,-999.0,0
14112,-999.0,0
14047,-999.0,0
14728,105.61,0
14728,54.727,0
13329,772.548,0
12056,332.672,0
14048,7190.713,0
13162,102.357,0
13472,67.752,0
14051,1479.45,0
14054,-999.0,0
12061,2919.809,0
12063,-999.0,0
12064,-999.0,0
13153,-999.0,0
12523,65.111,0
14731,-999.0,0
13636,24.32,0
13061,23.533,0
13637,850.117,0
13063,200.509,0
13063,188.555,0
14733,31.459,0
14060,13.256,0
14060,16.724,0
12067,-999.0,0
14735,-999.0,0
